,plate,mjd,fiberid,class,subclass,z,h_alpha_flux,h_beta_flux,oiii_5007_flux,nii_6584_flux,oi_6300_flux,sii_6717_flux,sii_6731_flux,h_alpha_eqw,nii_6584_eqw
19107,899,52620,511,b'GALAXY',b'STARFORMING',0.1021137,415.7444,104.1086,63.40132,180.9622,17.96048,89.77664,63.50542,-32.47613,-14.27628
19108,900,52637,471,b'GALAXY',b'STARFORMING',0.1163801,272.6917,56.23883,16.97997,124.2652,11.05422,47.58802,39.91977,-22.88016,-11.09412
19109,900,52637,603,b'GALAXY',b'STARFORMING',0.02587442,156.3718,43.39573,34.35075,34.25695,11.23298,43.55888,29.69532,-15.63748,-3.163768
19110,901,52641,568,b'GALAXY',b'AGN',0.2066058,123.7903,30.60831,121.5747,118.1203,34.0482,33.81593,34.73101,-13.3348,-12.80781
19111,902,52409,178,b'GALAXY',b'STARBURST',0.1155139,549.7824,147.3611,70.36938,175.5642,11.92538,84.93527,58.31998,-47.9289,-16.05063
19112,902,52409,536,b'GALAXY',b'STARFORMING',0.03601792,336.8727,77.10967,22.72514,121.4723,11.59316,71.55484,55.99408,-23.07734,-8.777038
19113,903,52400,58,b'GALAXY',b'STARFORMING',0.04735607,299.2544,67.33128,22.54914,110.3305,12.06531,51.96508,41.65852,-11.80416,-4.223435
19114,904,52381,441,b'GALAXY',b'STARFORMING',0.02512816,556.7972,169.1394,134.3678,253.3206,28.41597,167.0372,131.9673,-9.767675,-4.434702
19115,904,52381,635,b'GALAXY',b'STARBURST',0.1435624,529.5097,116.5546,91.53987,206.5913,21.5004,85.88115,73.01942,-51.98964,-20.28106
19116,907,52373,292,b'GALAXY',b'STARFORMING',0.1390715,269.7905,36.89172,19.32155,287.0983,19.12458,55.988,42.28358,-28.35726,-26.95471
19117,907,52373,387,b'GALAXY',b'STARFORMING',0.04549437,271.1112,87.09351,165.3167,32.91332,13.11686,53.73506,37.48978,-33.08115,-3.905427
19118,908,52373,228,b'GALAXY',b'',0.04856258,204.3548,42.92934,109.483,185.6702,61.33607,82.81165,58.92767,-3.876559,-3.455645
19119,909,52379,157,b'GALAXY',b'STARFORMING',0.04721095,161.5112,30.90413,17.72137,58.23324,7.573394,36.9171,24.56128,-18.53138,-6.66466
19120,909,52379,471,b'GALAXY',b'STARBURST',0.1387534,727.8951,206.444,648.6,142.2937,34.40699,93.33149,89.02745,-198.2517,-37.23418
19121,910,52377,600,b'GALAXY',b'STARFORMING',0.0213306,876.8049,283.9565,321.8529,176.141,27.74393,181.3988,130.2847,-37.99936,-7.828815
19122,913,52433,62,b'GALAXY',b'STARBURST',0.1387649,2561.124,759.9897,1743.765,406.248,46.40042,276.2368,222.655,-199.443,-31.06166
19123,914,52721,182,b'GALAXY',b'STARBURST',0.05145098,3704.724,770.9484,803.7836,1388.755,113.9582,579.581,462.3038,-119.534,-43.4556
